"filename", "language", "Groovy", "Batch", "JavaScript", "Java Properties", "Java", "XML", "JSON", "Objective-C", "Markdown", "C++", "comment", "blank", "total"
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/InPageCpnt/Account.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 8, 48
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/InPageCpnt/HomePage.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/InPageCpnt/PostDetailCpnt.js", "JavaScript", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 127, 27, 373
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/InPageCpnt/UserProfileCpnt.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 3, 11, 140
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Picker/AppPicker.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 2, 10, 107
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Picker/Counter.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 2, 9, 78
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Picker/PickerItem.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 5, 21
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Picker/PriceFilter.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 4, 16, 109
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Picker/Timepicker.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Rating.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/SafeScreen.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/forms/AppForm.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/forms/AppInput.js", "JavaScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 7, 28, 220
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/forms/ErrorMessage.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/forms/SubmitBtn.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 5, 22
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/config/Typography.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 29, 197
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/config/color.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 0, 16
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/data/SearchType.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 2, 47
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/data/posts.js", "JavaScript", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 8, 167
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/data/report.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 1, 43
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/data/tagOptions.js", "JavaScript", 0, 0, 481, 0, 0, 0, 0, 0, 0, 0, 0, 3, 484
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/data/user.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/helpers/ApiFunctions.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 15, 14, 113
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/helpers/BGFunctions.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 3, 21
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/helpers/api.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 8, 6, 150
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/helpers/functions.js", "JavaScript", 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 41, 41, 369
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/navigation/AccountStack.js", "JavaScript", 0, 0, 196, 0, 0, 0, 0, 0, 0, 0, 4, 12, 212
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/navigation/AuthStack.js", "JavaScript", 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 8, 24, 405
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/navigation/ExploreStack.js", "JavaScript", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 3, 12, 121
